Krankenkasse,Jahr,Quartal,time,churn_rel,predicted_effect_cf
aok bayern,2024,1,2024 Q1,-0.3486804636507787,0.2001421325145931
aok bayern,2024,2,2024 Q2,-0.24798666732452893,0.04024638072936976
aok bayern,2024,3,2024 Q3,-0.013107517642251603,0.03138316961459975
aok bayern,2024,4,2024 Q4,0.20590020051359623,0.1527984168114618
aok bayern,2025,1,2025 Q1,-0.5139670688079584,0.40897989776813226
aok bremen/bremerhaven,2016,1,2016 Q1,5.744870012470688,1.337065813310684
aok bremen/bremerhaven,2016,2,2016 Q2,0.8650216396476715,1.0090053157546732
aok bremen/bremerhaven,2016,3,2016 Q3,0.6315942580305896,3.0672565932544695
aok bremen/bremerhaven,2016,4,2016 Q4,1.3586609073675668,2.9425080990207677
aok bremen/bremerhaven,2017,1,2017 Q1,0.7442671683294301,1.1255310988233007
aok bremen/bremerhaven,2017,2,2017 Q2,1.4122079223013437,1.447713801537686
aok bremen/bremerhaven,2017,3,2017 Q3,1.1123160008159847,0.43775115380879004
aok bremen/bremerhaven,2017,4,2017 Q4,0.9153172285638439,0.3730227634433188
aok bremen/bremerhaven,2018,1,2018 Q1,0.3898481643991287,0.6599703882021065
aok bremen/bremerhaven,2018,2,2018 Q2,0.5638969682676939,0.787720600466285
aok bremen/bremerhaven,2018,3,2018 Q3,0.5857492013695275,0.7193810812504365
aok bremen/bremerhaven,2018,4,2018 Q4,0.4807916483174883,0.9113735192937578
aok bremen/bremerhaven,2019,1,2019 Q1,-0.551192876257457,0.8669880331558957
aok bremen/bremerhaven,2019,2,2019 Q2,0.658460964152763,0.8948949610292692
aok bremen/bremerhaven,2019,3,2019 Q3,0.2601162024064612,0.9427003006818379
aok bremen/bremerhaven,2019,4,2019 Q4,0.6062194000482921,0.7182442625385996
aok bremen/bremerhaven,2020,1,2020 Q1,0.2818785777387415,0.1897200784986106
aok bremen/bremerhaven,2020,2,2020 Q2,0.6777641421522449,0.5401640435099835
aok bremen/bremerhaven,2020,3,2020 Q3,0.5487780205551509,0.7973658816800275
aok bremen/bremerhaven,2020,4,2020 Q4,0.08953857452577252,0.5807882730504806
aok bremen/bremerhaven,2021,1,2021 Q1,0.11710013820831763,0.2886582629539646
aok bremen/bremerhaven,2021,2,2021 Q2,-0.3463716316613791,0.6509253022584788
aok bremen/bremerhaven,2021,3,2021 Q3,0.1279480953868163,0.9380813675553371
aok bremen/bremerhaven,2021,4,2021 Q4,0.5820739339544805,0.7618074983961581
aok bremen/bremerhaven,2022,1,2022 Q1,-0.3921392094193439,0.43652013066508477
aok bremen/bremerhaven,2022,2,2022 Q2,-0.17223631022621708,-0.13812626275326245
aok bremen/bremerhaven,2022,3,2022 Q3,0.6750435106286657,-0.272100680298725
aok bremen/bremerhaven,2022,4,2022 Q4,1.7442441442161645,-0.19756100915842348
aok bremen/bremerhaven,2023,1,2023 Q1,0.4812532226778304,0.5707779246062555
aok bremen/bremerhaven,2023,2,2023 Q2,-0.1378198079319698,0.4194437454358465
aok bremen/bremerhaven,2023,3,2023 Q3,0.4414362829303148,0.1475046088871384
aok bremen/bremerhaven,2023,4,2023 Q4,0.29429678173800766,0.10144833531998027
aok bremen/bremerhaven,2024,1,2024 Q1,0.34590140838227934,0.34500268534863715
aok bremen/bremerhaven,2024,2,2024 Q2,-0.06681158648469386,0.11992597047953198
aok bremen/bremerhaven,2024,3,2024 Q3,0.3047288688212467,-0.23957354001796513
aok bremen/bremerhaven,2024,4,2024 Q4,0.350170496807411,-0.22614207752453672
aok bremen/bremerhaven,2025,1,2025 Q1,-0.16171961861123277,0.9472518591055694
aok hessen,2016,1,2016 Q1,3.999314672054599,1.2495982343236525
aok hessen,2016,2,2016 Q2,0.569687730203266,0.9308331027330657
aok hessen,2016,3,2016 Q3,0.5877644834080664,3.053453005462883
aok hessen,2016,4,2016 Q4,0.7329227975610867,3.206034843749695
aok hessen,2017,1,2017 Q1,0.5789057500226168,0.8430851746681083
aok hessen,2017,2,2017 Q2,0.8300887387931357,0.9250803978535703
aok hessen,2017,3,2017 Q3,0.6541767367483782,1.0439125340425977
aok hessen,2017,4,2017 Q4,0.9971262151219185,0.6753263177110251
